DATE	USD	GBP	EUR
2002/4/1	133.15	189.79	116.12
2002/4/2	133.2	191.78	117.18
2002/4/3	133.2	191.26	116.96
2002/4/4	133.1	191.13	117.15
2002/4/5	132.3	189.74	116.32
2002/4/8	131.55	188.54	115.69
2002/4/9	131.55	188.31	115.05
2002/4/10	130.7	187.84	115.16
2002/4/11	131.1	188.36	115.41
2002/4/12	131.55	189.06	115.99
2002/4/15	132.2	189.84	116.38
2002/4/16	131.85	189.49	116.01
2002/4/17	130.95	188.55	115.59
2002/4/18	130.6	188.97	116.31
2002/4/19	130.1	188.59	115.93
2002/4/22	130.3	188.62	115.99
2002/4/23	129.9	188.43	115.4
2002/4/24	130.25	188.58	115.68
2002/4/25	129.45	187.73	115.57
2002/4/26	128.75	187.43	115.62
2002/4/30	128.35	187.08	115.93
2002/5/1	128.6	187.49	115.7
2002/5/2	127.45	187.08	115.62
2002/5/7	127	186.55	116.6
2002/5/8	128.2	187.71	117
2002/5/9	128.9	187.77	116.62
2002/5/10	128.65	187.92	117.08
2002/5/13	127.3	186.39	116.36
2002/5/14	127.9	186.36	116.45
2002/5/15	128.45	186.21	115.85
2002/5/16	127.8	186.49	116.41
2002/5/17	127.75	186.2	116.55
2002/5/20	125.9	183.7	115.94
2002/5/21	125.9	183.6	115.64
2002/5/22	123.9	180.76	113.79
2002/5/23	124.4	181.62	115.13
2002/5/24	125	181.68	115.19
2002/5/27	124.85	181.96	115.01
2002/5/28	124.85	181.81	114.91
2002/5/29	124.7	181.91	115.8
2002/5/30	124.25	181.72	116.32
2002/5/31	123.45	180.89	115.61
2002/6/3	124.45	181.14	115.89
2002/6/4	123.65	180.8	116.22
2002/6/5	124.1	180.95	116.77
2002/6/6	124.25	181.27	116.72
2002/6/7	124.2	181.28	117.57
2002/6/10	124.55	181.81	117.56
2002/6/11	124.75	182.14	117.75
2002/6/12	125.45	184.65	118.85
2002/6/13	125.65	184.97	118.68
2002/6/14	124.95	183.79	117.7
2002/6/17	124.2	183.36	117.33
2002/6/18	124.35	183.96	117.42
2002/6/19	124.35	185.64	118.41
2002/6/20	124.25	185.16	118.8
2002/6/21	123.45	185.06	119.15
2002/6/24	121.65	182.24	118.3
2002/6/25	121.6	182.51	117.98
2002/6/26	121.2	183.34	119.39
2002/6/27	120.15	183.24	118.04
2002/6/28	119.45	182.67	117.98
2002/7/1	119.8	183.61	118.95
2002/7/2	119.8	183.55	118.57
2002/7/3	120.15	183.99	118.07
2002/7/4	119.95	183.09	117.47
2002/7/5	120.45	183.57	117.51
2002/7/8	119.4	182.49	116.95
2002/7/9	118.9	183.25	117.54
2002/7/10	118.2	182.84	117.21
2002/7/11	117.65	182.29	116.23
2002/7/12	117.25	181.89	115.75
2002/7/15	116.5	181.01	115.82
2002/7/16	116.35	182.87	117.16
2002/7/17	116	182.56	117.32
2002/7/18	116.55	182.95	117.24
2002/7/19	116.4	183.47	117.92
2002/7/22	116.15	183.05	117.43
2002/7/23	116.6	183.6	116.9
2002/7/24	117.5	183.92	116.2
2002/7/25	116.55	183.4	116.04
2002/7/26	116.7	184.67	117.38
2002/7/29	118.65	185.97	117.11
2002/7/30	119.65	187.13	117.36
2002/7/31	120.05	188.59	118.08
2002/8/1	119.95	187.4	117.22
2002/8/2	119	186.01	117.44
2002/8/5	118.95	186.47	117.14
2002/8/6	119.7	186.4	117.07
2002/8/7	121	186.23	117.07
2002/8/8	120.15	185.07	117.22
2002/8/9	121.2	185.73	117.19
2002/8/12	119.85	182.87	116.37
2002/8/13	118.9	181.7	116.31
2002/8/14	118.25	181.97	116.54
2002/8/15	117.4	180.4	114.95
2002/8/16	117.5	180.23	115.23
2002/8/19	117.55	181.23	115.97
2002/8/20	118.6	181.2	115.82
2002/8/21	118.5	181.41	116.25
2002/8/22	119.1	181.98	116.47
2002/8/23	119.9	182.25	116.17
2002/8/26	119.5	182.08	116.32
2002/8/27	119.7	182.12	116.43
2002/8/28	118.3	181.29	116.21
2002/8/29	118.9	182.51	116.44
2002/8/30	117.95	182.53	116.11
2002/9/2	118.7	183.99	116.42
2002/9/3	118.15	183.17	116.32
2002/9/4	117.25	183.44	116.78
2002/9/5	118.15	184.93	117.11
2002/9/6	118.6	185.95	117.65
2002/9/9	118.7	184.91	116.46
2002/9/10	118.85	184.87	116.48
2002/9/11	119.8	186.44	116.79
2002/9/12	120.35	186.98	117.47
2002/9/13	119.8	186.97	117.7
2002/9/17	122.4	188.52	118.3
2002/9/18	122.1	188.11	118.83
2002/9/19	121.9	188.96	119.22
2002/9/20	121.85	189.81	120.25
2002/9/24	123.7	191.76	120.73
2002/9/25	123.15	192.27	120.98
2002/9/26	122.6	191.08	119.83
2002/9/27	122.4	190.81	119.57
2002/9/30	122.6	191.5	120.32
2002/10/1	122.15	191.89	120.62
2002/10/2	122.85	191.94	120.63
2002/10/3	122.95	192.9	121.35
2002/10/4	122.6	192.31	120.97
2002/10/7	123.2	192.67	120.61
2002/10/8	124.25	194.65	122.15
2002/10/9	123.95	192.73	121.57
2002/10/10	123.3	192.95	121.98
2002/10/11	123.6	193.48	121.99
2002/10/15	124.55	193.86	123.04
2002/10/16	124.9	193.94	122.49
2002/10/17	124.75	193.64	122.22
2002/10/18	125.25	194.31	121.71
2002/10/21	125.45	193.85	121.62
2002/10/22	125	192.9	121.65
2002/10/23	125.05	193.05	122.2
2002/10/24	124.5	192.74	121.42
2002/10/25	124.4	193.44	121.7
2002/10/28	124.5	193.01	121.52
2002/10/29	123.6	192.7	121.55
2002/10/30	122.9	191.37	120.76
2002/10/31	123.2	191.95	121.29
2002/11/1	122.7	192.17	121.53
2002/11/5	122.05	190.06	121.77
2002/11/6	122.2	190.55	122.08
2002/11/7	121.7	190.5	122.43
2002/11/8	121.35	191.67	122.36
2002/11/11	119.95	190.79	121.47
2002/11/12	119.7	189.88	120.85
2002/11/13	119.85	190.43	121.23
2002/11/14	120.25	190.8	121.12
2002/11/15	120.7	190.6	121.19
2002/11/18	120.45	190.61	121.75
2002/11/19	120.9	191.3	122.07
2002/11/20	122.4	193.4	122.85
2002/11/21	122.65	192.87	122.76
2002/11/22	122.85	194.2	123.08
2002/11/25	123.2	194.45	122.61
2002/11/26	121.95	190.83	120.9
2002/11/27	121.7	189.1	120.96
2002/11/28	122.35	189.21	121.14
2002/11/29	122.4	189.84	121.58
2002/12/2	122.85	191.52	122.13
2002/12/3	124.45	193.67	124.05
2002/12/4	124.25	195.02	123.96
2002/12/5	124.65	195.71	124.76
2002/12/6	125.1	196.54	125.24
2002/12/9	123.3	194.57	124.58
2002/12/10	123.4	195.19	124.78
2002/12/11	123.95	194.64	124.79
2002/12/12	123.6	194.73	124.66
2002/12/13	122.5	193.55	124.78
2002/12/16	120.6	191.67	123.35
2002/12/17	121.35	193.07	124.01
2002/12/18	121.35	193.84	124.78
2002/12/19	121.05	194.14	124.2
2002/12/20	120.8	193.51	123.98
2002/12/24	120.35	191.91	123.47
2002/12/25	120.35	191.99	124.09
2002/12/26	120.35	192.25	124.26
2002/12/27	120.2	192.62	124.72
2002/12/30	119.95	192.53	125.14
2003/1/6	119.85	193.03	124.88
2003/1/7	119.4	191.83	124.69
2003/1/8	120.25	193.04	125.24
2003/1/9	118.9	192.26	125.18
2003/1/10	119.65	192.17	125.37
2003/1/14	118.95	190.31	125.37
2003/1/15	118.1	189.73	124.74
2003/1/16	118.25	189.71	124.84
2003/1/17	118	189.9	125.27
2003/1/20	118.05	190.01	125.75
2003/1/21	118.5	190.45	126.39
2003/1/22	118.2	191.12	126.82
2003/1/23	118.6	192.01	127.07
2003/1/24	118.05	191.65	126.94
2003/1/27	117.9	192.44	127.65
2003/1/28	118.5	193.61	128.41
2003/1/29	118.6	194.54	128.46
2003/1/30	118.7	195.38	128.36
2003/1/31	119.05	197.38	128.84
2003/2/3	119.95	197.5	129.1
2003/2/4	120.35	197.77	129.73
2003/2/5	119.75	197.37	130.19
2003/2/6	120.2	197.19	129.55
2003/2/7	119.75	195.9	129.71
2003/2/10	120.45	196.51	130.25
2003/2/12	121.1	196.17	130.06
2003/2/13	121.25	196.01	129.88
2003/2/14	120.45	195.29	130.57
2003/2/17	120.75	193.91	129.56
2003/2/18	119.85	191.69	128.5
2003/2/19	119	189.31	127.16
2003/2/20	118.9	190.05	127.91
2003/2/21	118.45	188.89	128.17
2003/2/24	118.5	186.6	127.06
2003/2/25	118.15	187.46	127.46
2003/2/26	117.45	184.81	126.22
2003/2/27	117.1	185.39	126.46
2003/2/28	117.75	185.89	126.55
2003/3/3	118.2	186.19	127.5
2003/3/4	117.55	185.89	128.15
2003/3/5	117.4	186.42	128.62
2003/3/6	117.4	187.93	128.68
2003/3/7	117.5	187.69	128.9
2003/3/10	116.9	187.53	128.91
2003/3/11	117	187.31	129.2
2003/3/12	117.15	188.21	129.17
2003/3/13	117.9	189.78	129.34
2003/3/14	118.4	189.77	127.93
2003/3/17	117.95	187.39	127.39
2003/3/18	118.6	185.8	126
2003/3/19	118.7	185.93	126.18
2003/3/20	120.4	188.65	127.24
2003/3/24	121.25	189.8	128.26
2003/3/25	120.65	190.16	128.5
2003/3/26	120	188.96	127.87
2003/3/27	119.95	189.07	128.38
2003/3/28	120.1	188.03	128.34
2003/3/31	120.2	189.4	129.7
2003/4/1	118.25	187.01	128.95
2003/4/2	117.9	186.08	128.85
2003/4/3	119	186.54	128.12
2003/4/4	119.35	187.74	128.42
2003/4/7	120.5	187.9	128.62
2003/4/8	119.9	186.49	128.08
2003/4/9	120.05	186.87	128.73
2003/4/10	120.1	188.23	129.54
2003/4/11	119.7	188.29	129.04
2003/4/14	120.85	189.71	129.51
2003/4/15	120.45	189.23	129.78
2003/4/16	120.4	189.02	129.98
2003/4/17	119.6	189.17	130.52
2003/4/18	119.75	188.4	130.31
2003/4/21	119.7	188.42	130.45
2003/4/22	120.65	188.77	131.01
2003/4/23	120.15	189.6	131.72
2003/4/24	120.5	191.11	132.02
2003/4/25	120.15	191.43	132.54
2003/4/28	120	191.46	132.7
2003/4/30	119.65	191.16	133.13
2003/5/1	119	190.19	133.01
2003/5/2	118.65	191.09	133.27
2003/5/6	118.55	190.58	133.75
2003/5/7	117.65	189.79	134.24
2003/5/8	116.6	186.27	132.39
2003/5/9	117.25	188.14	135.08
2003/5/12	117	187.76	135.21
2003/5/13	117.4	188.64	134.81
2003/5/14	116.8	187.78	134.37
2003/5/15	116.3	188.29	133.5
2003/5/16	116.5	188.96	132.79
2003/5/19	115.6	188.39	135.11
2003/5/20	117.05	191.07	136.25
2003/5/21	116.7	191.54	136.76
2003/5/22	117.5	192.28	136.9
2003/5/23	117.4	191.64	137.03
2003/5/26	116.85	191.53	138
2003/5/27	116.65	191.57	138.79
2003/5/28	117.25	192.23	138.53
2003/5/29	118.5	194.13	139.49
2003/5/30	118.3	195.57	140.61
2003/6/2	119.25	194.22	139.68
2003/6/3	118.5	193.95	139.15
